Skeleton	骨骼	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Skeleton”。"
Skull	头骨	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Skull”。"
Organ	器官	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Organ”。"
Tissue	组织	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Tissue”。"
Artery	动脉	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Artery”。"
Vein	静脉	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Vein”。"
Spine	脊柱	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Spine”。"
Cartilage	软骨	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Cartilage”。"
Neuron	神经元	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Neuron”。"
Embryo	胚胎	"【VR环境】1:1比例虚拟陈列室，物体悬浮于玩家胸前高度 (Y=1.2m)。
【网格/材质】精细PBR材质，高多边形模型。开启环境光遮蔽(AO)。
【交互组件】配置 OVRGrabber/XR Grab Interactable，启用碰撞体，设定抓取锚点 (Grab Point)。
【听觉/视觉】安静环境音，模型呈慢速自转Idle状态 (5 RPM)。"	"【VR动作】玩家使用VR手柄按下 Grip 键抓取，通过手腕自然扭动进行 6DoF 多角度翻看。
【触觉反馈】抓取瞬间手柄触发轻微短促震动 (Haptic Amplitude: 0.3, Duration: 0.1s)。
【视觉变化】内部/核心结构材质自动高亮发光 (Emission: +2.0)，其他部分 Alpha 降至 0.2 变透明。
【空间音效】伴随旋转动作触发 3D 空间音效 (Spatial Audio)，并由近场语音播报“Embryo”。"
